RequestId,Date Initiated,Description,Address,Zip Code,Initiated By,Date Time Closed,Status,X Coordinate,Y Coordinate,lat,lon,Request Type,Response,Labor Hours,Proactive,Initiated by Resident,Received by Engineer,Resident Contacted,On Hold Pending Other Action,Date In Progress,Date Complete
504625,08/3/2019 02:08,Major Road Traffic Issue,12500 CAJUN DR,,"Integration, Citysourced App",08/5/2019 11:30,CLOSED,2498740.96700000,7105155.53900000,33.14852391,-96.76739733,GEOMETRY / MORE LANES,Yes,,NO - RESIDENT / OTHER,,8/3/2019 12:00:00 PM,8/5/2019 12:00:00 PM,,,8/5/2019 12:00:00 PM
504671,08/4/2019 09:56,Major Road Traffic Issue,LEGACY DR & STATE HIGHWAY 121,75034,Staff,,IP,2477134.17800000,7082487.68000000,33.087186,-96.83915803,GEOMETRY / MORE LANES,Yes,,,,4/15/2019 12:00:00 AM,8/4/2019 12:00:00 AM,,10/16/2019 11:35:14 AM,
510623,08/23/2019 08:54,Major Road Traffic Issue,OHIO DR & GAYLORD PKWY,75035,Staff,10/16/2019 11:40,CLOSED,2488790.34300000,7089316.81200000,33.10544197,-96.80074308,GEOMETRY / MORE LANES,Yes,0.5,NO - RESIDENT / OTHER,,1/10/2019 12:00:00 AM,10/16/2019 11:40:21 AM,,10/16/2019 11:40:23 AM,10/16/2019 11:40:26 AM
513013,08/29/2019 01:42,Major Road Traffic Issue,COIT RD & ROLATER RD,75035,Staff,09/18/2019 07:44,CLOSED,2498578.47900000,7101188.88200000,33.13763,-96.76814183,GEOMETRY / MORE LANES,Yes,0.5,NO - RESIDENT / OTHER,,8/29/2019 12:00:00 AM,9/3/2019 12:00:00 AM,,9/3/2019 12:00:00 AM,9/3/2019 12:00:00 AM
517146,09/14/2019 10:10,Major Road Traffic Issue,DALLAS PKWY & STONEBROOK PKWY,75034,"Integration, Citysourced App",09/20/2019 12:51,CLOSED,2481105.51400000,7098644.10100000,33.13141494,-96.82535172,GEOMETRY / MORE LANES,No,0.5,NO - RESIDENT / OTHER,,9/14/2019 12:00:00 AM,9/19/2019 12:00:00 PM,,9/19/2019 12:00:00 PM,9/20/2019 12:00:00 PM
517147,09/14/2019 10:17,Major Road Traffic Issue,LEGACY DR & STONEBROOK PKWY,75034,"Integration, Citysourced App",09/20/2019 12:50,CLOSED,2473955.04000000,7098977.80700000,33.13264316,-96.84869084,GEOMETRY / MORE LANES,No,0.5,NO - RESIDENT / OTHER,,9/14/2019 12:00:00 PM,9/19/2019 12:00:00 PM,,9/19/2019 12:00:00 PM,9/20/2019 12:00:00 PM
520587,09/24/2019 12:25,Major Road Traffic Issue,LEGACY DR & STATE HIGHWAY 121,75034,Staff,09/24/2019 12:27,CLOSED,2477134.17800000,7082487.68000000,33.087186,-96.83915803,GEOMETRY / MORE LANES,Yes,0.5,NO - RESIDENT / OTHER,,9/18/2019 12:00:00 AM,9/24/2019 12:26:23 PM,,9/24/2019 12:26:26 PM,9/24/2019 12:26:31 PM
521008,09/25/2019 04:44,Major Road Traffic Issue,DALLAS PKWY & PANTHER CREEK PKWY,75033,Staff,09/26/2019 01:33,CLOSED,2476449.19200000,7119741.26300000,33.18959826,-96.83947174,GEOMETRY / MORE LANES,Yes,0.5,NO - RESIDENT / OTHER,,8/26/2019 12:00:00 PM,9/26/2019 12:00:00 PM,,9/26/2019 12:00:00 PM,9/26/2019 12:00:00 PM
495525,07/5/2019 08:47,Major Road Traffic Issue,9300 WARREN PKWY,,"Integration, Citysourced App",07/26/2019 11:36,CLOSED,2488588.02000000,7090659.70900000,33.10914159,-96.80133284,LANE CLOSURE / TRAFFIC CONTROL PLAN,,,NO - RESIDENT / OTHER,,7/5/2019 12:00:00 PM,,,,7/26/2019 12:00:00 PM
507893,08/14/2019 01:52,Major Road Traffic Issue,LEBANON RD & 4TH ARMY DR,75034,Staff,10/16/2019 11:58,CLOSED,2470102.76100000,7093555.93400000,33.11790815,-96.86155033,LANE CLOSURE / TRAFFIC CONTROL PLAN,Yes,0.5,NO - RESIDENT / OTHER,,11/7/2017 12:00:00 AM,8/14/2019 12:00:00 AM,,8/14/2019 12:00:00 AM,8/14/2019 12:00:00 AM
557752,02/25/2020 09:30,Major Road Traffic Issue,VM - 1300 Tree Top Drive (Noise off Eldorado Pkwy),,Staff,,IP,2464127.08300000,7115638.95200000,33.1788529,-96.87995407,OTHER,,,NO - RESIDENT / OTHER,2/17/2020 8:16:00 AM,2/18/2020 8:43:00 AM,2/18/2020 12:00:00 PM,,2/18/2020 12:00:00 PM,
515651,09/9/2019 10:20,Major Road Traffic Issue,INDEPENDENCE PKWY & SHEFFIELD LN,75035,Staff,,IP,2503829.00400000,7111567.33900000,33.16591315,-96.75042596,PEDESTRIAN,,,NO - RESIDENT / OTHER,,9/6/2019 4:27:00 PM,,,,
522946,10/3/2019 10:19,Major Road Traffic Issue,Kirby Ln & Wade Blvd (Crosswalk),,Staff,,OPEN,2489218.75000000,7098163.84600000,33.1297368,-96.79887632,PEDESTRIAN,,,,,10/1/2019 3:26:00 PM,10/3/2019 9:24:00 AM,,,
526827,10/22/2019 03:18,Major Road Traffic Issue,VM - Warren & Ohio Roundabout concerns,,Staff,10/23/2019 03:12,CLOSED,2488638.02100000,7090629.99200000,33.1090577,-96.80117113,ROUNDABOUT,,,NO - RESIDENT / OTHER,,10/22/2019 2:16:00 PM,10/23/2019 2:30:00 PM,,10/23/2019 2:30:38 PM,10/23/2019 3:11:19 PM
515509,09/9/2019 09:12,Major Road Traffic Issue,LEBANON RD & ROCK CREEK PKWY,75034,Staff,,IP,2470473.24100000,7093054.56900000,33.11651437,-96.86036594,SCHOOL ZONE,,,NO - RESIDENT / OTHER,,8/27/2019 12:00:00 PM,,,,
518756,09/18/2019 02:35,Major Road Traffic Issue,3000 STONEBROOK PKWY,,"Integration, Citysourced App",,OPEN,2469171.57200000,7098787.89600000,33.13232691,-96.86432543,SCHOOL ZONE,,,NO - RESIDENT / OTHER,,9/18/2019 12:00:00 PM,,,,
522073,09/30/2019 03:14,Major Road Traffic Issue,Dallas Parkway (High School Traffic),,Staff,11/12/2019 04:32,CLOSED,2481481.77100000,7098486.76200000,33.13096604,-96.82413092,SCHOOL ZONE,,,NO - RESIDENT / OTHER,,9/17/2019 5:07:00 PM,9/26/2019 12:00:00 PM,,9/26/2019 12:00:00 PM,10/8/2019 12:00:00 PM
524546,10/10/2019 11:31,Major Road Traffic Issue,Eldorado & North County Road (School Zone),,Staff,,IP,2481939.06200000,7114348.74200000,33.17453859,-96.82180952,SCHOOL ZONE,,,NO - RESIDENT / OTHER,,10/9/2019 12:19:00 AM,10/9/2019 3:53:00 PM,,10/9/2019 12:00:00 AM,
526970,10/23/2019 10:37,Major Road Traffic Issue,VM - Stonebrook & Legacy (school zone),,Staff,11/12/2019 04:34,CLOSED,2473989.58300000,7099023.22100000,33.13276647,-96.84857567,SCHOOL ZONE,,,NO - RESIDENT / OTHER,10/22/2019 12:00:00 PM,10/23/2019 10:38:04 AM,10/24/2019 12:00:00 PM,,10/24/2019 12:00:00 PM,11/12/2019 4:33:27 PM
503191,07/30/2019 10:17,Major Road Traffic Issue,PANTHER CREEK PKWY & DALLAS PKWY,75033,Staff,09/25/2019 01:54,CLOSED,2476449.19200000,7119741.26300000,33.18959826,-96.83947174,SIGNS / MARKINGS,Yes,0.5,NO - RESIDENT / OTHER,,7/30/2019 12:00:00 AM,9/25/2019 12:00:00 PM,,9/25/2019 12:00:00 PM,9/25/2019 12:00:00 PM
503958,08/1/2019 10:43,Major Road Traffic Issue,DALLAS PKWY & LEBANON RD,75034,Staff,08/1/2019 10:44,CLOSED,2481835.07000000,7095860.72400000,33.12373352,-96.82311385,SIGNS / MARKINGS,Yes,0.75,NO - RESIDENT / OTHER,,7/31/2019 12:00:00 AM,7/31/2019 12:00:00 AM,,7/31/2019 12:00:00 AM,8/1/2019 12:00:00 AM
503961,08/1/2019 10:46,Major Road Traffic Issue,DALLAS PKWY & LEBANON RD,75034,Staff,08/1/2019 10:48,CLOSED,2481835.07000000,7095860.72400000,33.12373352,-96.82311385,SIGNS / MARKINGS,Yes,0.75,NO - RESIDENT / OTHER,,7/31/2019 12:00:00 AM,7/31/2019 12:00:00 AM,,7/31/2019 12:00:00 AM,8/1/2019 12:00:00 AM
508652,08/16/2019 10:21,Major Road Traffic Issue,LEGACY DR & STONEBROOK PKWY,75034,"Integration, Citysourced App",,COMPLETE,2473955.04000000,7098977.80700000,33.13264316,-96.84869084,SIGNS / MARKINGS,No,0.5,NO - RESIDENT / OTHER,,9/24/2019 12:00:00 PM,9/26/2019 12:00:00 PM,,9/26/2019 12:00:00 PM,9/26/2019 12:00:00 PM
511266,08/26/2019 08:53,Major Road Traffic Issue,PRESTON RD & STONEBROOK PKWY,75034,"Integration, Citysourced App",10/11/2019 11:14,CLOSED,2487416.31200000,7101531.44700000,33.13907188,-96.8045861,SIGNS / MARKINGS,Yes,,NO - RESIDENT / OTHER,8/26/2019 12:00:00 PM,10/9/2019 12:00:00 PM,10/11/2019 12:00:00 PM,,,10/11/2019 12:00:00 PM
513750,09/3/2019 11:00,Major Road Traffic Issue,LEGACY DR & STONEBROOK PKWY,75034,"Integration, Citysourced App",10/11/2019 02:26,CLOSED,2473955.04000000,7098977.80700000,33.13264316,-96.84869084,SIGNS / MARKINGS,,,,,10/3/2019 12:00:00 PM,,,,
525175,10/14/2019 03:29,Major Road Traffic Issue,Todd Dr & Lebanon Rd (No U-Turn Sign),,Staff,11/12/2019 04:32,CLOSED,2475720.83300000,7092709.67900000,33.11534024,-96.84324591,SIGNS / MARKINGS,Yes,,NO - RESIDENT / OTHER,,10/15/2019 5:00:00 PM,10/16/2019 5:00:45 PM,,10/16/2019 5:00:48 PM,11/8/2019 12:00:00 PM
503964,08/1/2019 10:51,Major Road Traffic Issue,STONEBROOK PKWY & STARWOOD DR,75034,Staff,,COMPLETE,2479567.61100000,7098529.25500000,33.13116659,-96.83038107,SPEED LIMIT,Yes,2.5,NO - RESIDENT / OTHER,,9/18/2019 12:00:00 AM,9/19/2019 12:00:00 AM,,9/19/2019 12:00:00 AM,9/19/2019 12:00:00 AM
512568,08/28/2019 10:15,Major Road Traffic Issue,COIT RD & ELDORADO PKWY,75035,"Integration, Citysourced App",10/28/2019 04:29,CLOSED,2498369.33200000,7114616.29200000,33.17454095,-96.76810187,SPEED LIMIT,Yes,0.5,NO - RESIDENT / OTHER,,8/28/2019 12:00:00 AM,9/19/2019 12:00:00 PM,9/19/2019 12:00:00 PM,10/28/2019 12:00:00 PM,10/28/2019 12:00:00 PM
